"quality_band","OBJECTID","HYDRO_TYPE","NAME","DWQREVIEW","non_empty_fields","completeness_ratio","name_length","ingested_at","ingest_year","ingest_month","min_ratio"
"MEDIUM",254,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",255,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",256,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",257,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",258,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",259,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",260," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",261,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",262," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",263,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",264,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",265,"STREAM/RIVER","PANTHER CREEK","",3,0.75,13,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",266,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",267,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",268,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",269,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",270,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",271,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",272,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",273," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",274," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",275,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",276,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",277,"ROCK/ISLAND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",278,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",279,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",280,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",281,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",282,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",283," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",284,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",285,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",286,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",287,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",288,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",289,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",290,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",291,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",292,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",293," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",294,"RESERVOIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",295,"RESERVOIR","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",296,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",297,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",298,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",299,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",300,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",301,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",302," ","LOWER BARTON CREEK","",2,0.5,18,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",303,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",304,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",305," ","MOCCASIN CREEK","",2,0.5,14,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",306,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",307,"TUNNEL/CULVERT"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",308," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",309," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",310,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",311,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",312,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",313," ","TOMS CREEK","",2,0.5,10,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",314,"SPILLWAY"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",315,"ROCK/ISLAND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",316,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",317," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",318," ","TOMS CREEK","",2,0.5,10,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",319," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",320,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",321," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",322," ","HORSE CREEK","",2,0.5,11,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",323,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",324,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",325,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",326," ","HONEYCUTT CREEK","",2,0.5,15,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",327,"RESERVOIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",328,"RESERVOIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",329,"RESERVOIR","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",330,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",331,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",332," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",333,"RESERVOIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",334," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",335," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",336,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",337," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",338,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",339,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",340,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",341," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",342,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",343,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",344,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",345," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",346,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",347," ","MOCCASIN CREEK","",2,0.5,14,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",348,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",349,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",350,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",351,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",352,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",353,"RESERVOIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",354," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",355,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",356,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",357,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",358,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",359," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",360," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",361," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",362," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",363," ","SMITH CREEK","",2,0.5,11,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",364,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",365,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",366,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",367,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",368," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",369,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",370,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",371,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",372,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",373," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",374," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",375,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",376,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",377,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",378,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",379," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",380," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",381,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",382,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",383,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",384,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",385,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",386,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",387,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",388,"LAKE/POND","BUFFALO CREEK","",3,0.75,13,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",389,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",390,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",391,"LAKE/POND","MOCCASIN CREEK","",3,0.75,14,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",392,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",393,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",394,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",395,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",396,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",397,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",398,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",399," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",400," ","FOWLERS MILL CREEK","",2,0.5,18,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",401,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",402," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",403,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",404,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",405,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",406,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",407," ","KIT CREEK","",2,0.5,9,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",408," ","KIT CREEK","",2,0.5,9,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",409,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",410,"ROCK/ISLAND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",411,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",412,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",413,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",414,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",415,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",416," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",417,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",418,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",419," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",420,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",421," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",422,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",423," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",424,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",425,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",426,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",427,"RESERVOIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",428," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",429," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",430," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",431,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",432,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",433,"ROCK/ISLAND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",434," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",435,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",436,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",437,"RESERVOIR","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",438," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",439,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",440," ","KIT CREEK","",2,0.5,9,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",441,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",442,"LAKE/POND","BRIER CREEK RESERVOIR","",3,0.75,21,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",443,"LAKE/POND","LAKE CRABTREE","",3,0.75,13,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",444,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",445," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",446,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",447,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",448,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",449,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",450,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",451,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",452,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",453,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",454,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",455," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",456,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",457,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",458," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",459,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",460,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",461,"RESERVOIR","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",462,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",463,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",464,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",465,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",466,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",467,"TUNNEL/CULVERT"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",468,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",469,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",470,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",471," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",472," ","BEAVERDAM CREEK","",2,0.5,15,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",473," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",474,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",475,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",476,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",477,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",478,"LAKE/POND","HARRIS CREEK","",3,0.75,12,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",479," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",480," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",481," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",482,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",483,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",484,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",485,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",486,"LAKE/POND","HARRIS CREEK","",3,0.75,12,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",487,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",488,"ROCK/ISLAND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",489,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",490,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",491,"LAKE/POND","HARRIS CREEK","",3,0.75,12,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",492,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",493,"RESERVOIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",494,"RESERVOIR","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",495,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",496," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",497,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",498,"RESERVOIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",499," ","MOCCASIN CREEK","",2,0.5,14,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",500,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
